日期,发动机油温,机油压力,冷却剂温度,扭矩,瞬时油耗,整车负荷率,转速,纬度,经度,高度,GPS速度,方向(0-正北),总里程,加速度,坡度
2021/8/28 7:55,26,0,26,0.15,3,0.44,666,34.441455,108.973648,0,1.4,0,72430.2,-0.064814815,0
2021/8/28 7:56,26,0,26,0.13,2.85,0.43,652.5,34.441455,108.973648,0,0,0,72430.2,0,0
2021/8/28 7:56,26,0,26,0.13,2.7,0.41,651,34.441455,108.973648,0,0,0,72430.2,0,0
2021/8/28 7:56,26,0,26,0.12,2.5,0.39,649.5,34.441455,108.973648,0,0,0,72430.2,0,0
2021/8/28 7:56,26,0,26,0.12,2.45,0.38,649,34.441551,108.973735,400,0,0,72430.2,0,0
2021/8/28 7:56,26,0,26,0.11,2.4,0.37,651,34.441551,108.973735,400,0,0,72430.2,0,0
2021/8/28 7:56,26,0,26,0.11,2.35,0.36,651.5,34.441551,108.973735,400,0,0,72430.2,0,0
2021/8/28 7:56,26,0,26,0.11,2.3,0.36,650,34.441551,108.973735,400,0,0,72430.2,0,0
2021/8/28 7:56,26,0,26,0.1,2.15,0.35,653.5,34.441551,108.973735,400,0,0,72430.2,0,0
2021/8/28 7:56,26,0,26,0.1,2.1,0.32,651.5,34.441551,108.973735,400,0,0,72430.2,0,0
2021/8/28 7:56,26.875,432,28,0.11,2.25,0.34,647.5,34.441551,108.973735,400,0,0,72430.2,0,0
2021/8/28 7:57,26.875,432,28,0.1,2.25,0.34,653.5,34.441551,108.973735,400,0,0,72430.2,0,0
2021/8/28 7:57,26.875,432,28,0.11,2.3,0.35,649.5,34.441551,108.973735,400,0,0,72430.2,0,0
2021/8/28 7:57,26.875,432,28,0.11,2.45,0.39,674.5,34.441551,108.973735,400,0,0,72430.2,0,0
2021/8/28 7:57,26.875,432,28,0.12,2.5,0.39,652,34.441551,108.973735,400,0,0,72430.2,0,0
2021/8/28 7:57,26.875,432,28,0.14,2.9,0.46,631.5,34.441551,108.973735,400,0,0,72430.2,0,0
2021/8/28 7:57,26.875,432,28,0.13,2.85,0.43,652,34.441551,108.973735,400,0,0,72430.2,0,0
2021/8/28 7:57,26.875,432,28,0.25,5.6,0.85,894.5,34.441551,108.973735,400,0,0,72430.2,0,0
2021/8/28 7:57,26.875,432,28,0.31,11.4,0.99,892,34.441551,108.973735,400,0,0,72430.2,1.041666667,-37.33333333
2021/8/28 7:57,26.875,432,28,0.1,8.65,0.29,646,34.441548,108.974135,393,22.5,104,72430.2,0.055555556,-2.205882353
2021/8/28 7:57,27.09375,600,31,0.34,17.1,0.75,1475,34.441566,108.974525,390,23.7,90,72430.3,0.25462963,-1.362552515
2021/8/28 7:58,27.09375,600,31,0.46,16.55,0.99,1094.5,34.441613,108.97503,388,29.2,83,72430.3,0.523148148,-2.16665162
2021/8/28 7:58,27.09375,600,31,0.41,17.55,0.69,1354,34.44167,108.97566,384,40.5,84,72430.5,0.097222222,-2.042900919
2021/8/28 7:58,27.09375,600,31,0.17,2.05,0.78,967,34.441703,108.97643,379,42.6,87,72430.5,0.055555556,-1.558846454
2021/8/28 7:58,27.09375,600,31,0.3,4.35,0.99,962,34.441771,108.97721,375,43.8,83,72430.6,-0.027777778,-0.381242852
2021/8/28 7:58,27.09375,600,31,0,0,0,949.5,34.441831,108.978001,374,43.2,86,72430.6,-0.305555556,-0.394166338
2021/8/28 7:58,27.09375,600,31,0.23,8.55,0.99,802.5,34.441873,108.978741,373,36.6,85,72430.8,0.152777778,-1.798965595
2021/8/28 7:58,27.09375,600,31,0,0,0,976.5,34.441953,108.979443,369,39.9,80,72430.8,0.319444444,-2.447481134
2021/8/28 7:58,27.09375,600,31,0.13,3.75,0,1088.5,34.44202,108.980261,363,46.8,85,72430.9,0.231481481,-2.456427652
2021/8/28 7:58,27.09375,600,31,0,0,0,1147,34.442086,108.981151,356,51.8,87,72430.9,-0.25462963,-1.632830784
2021/8/28 7:58,27.09375,508,38,0,0,0,1030,34.44215,108.98204,351,46.3,81,72431.1,-0.189814815,-1.09336087
2021/8/28 7:59,27.09375,508,38,0,1.75,0.48,1157.5,34.442631,108.982566,348,42.2,48,72431.1,0.37962963,0
2021/8/28 7:59,27.09375,508,38,0,0,0,1089.5,34.44347,108.98256,348,50.4,15,72431.3,-0.356481481,-0.337856861
2021/8/28 7:59,27.09375,508,38,0.41,13.95,0.99,1010.5,34.444185,108.982546,347,42.7,6,72431.3,0.300925926,-4.586863732
2021/8/28 7:59,27.09375,508,38,0.39,16.65,0.76,1227.5,34.444906,108.982621,335,49.2,1,72431.5,0.361111111,-2.651640703
2021/8/28 7:59,27.09375,508,38,0,0,0,1245.5,34.44575,108.982668,327,57,0,72431.5,-0.430555556,-1.19670905
2021/8/28 7:59,27.09375,508,38,0,0,0,906,34.446558,108.982696,323,47.7,2,72431.5,-1.236111111,-2.652017428
2021/8/28 7:59,27.09375,508,38,0.07,1.95,0.22,698.5,34.447073,108.982721,316,21,2,72431.6,-0.023148148,-5.573988056
2021/8/28 7:59,27.09375,508,38,0.09,2.9,0.24,670,34.447355,108.982678,309,20.5,358,72431.6,-0.300925926,4.252303331
2021/8/28 7:59,27.09375,508,38,0.08,1.95,0.26,701.5,34.447611,108.982643,314,14,355,72431.7,-0.648148148,6.912442396
2021/8/28 7:59,27.28125,384,42,0.08,1.95,0.24,702,34.44771,108.982663,319,0,32,72431.7,0.162037037,102.8571429
2021/8/28 8:00,27.28125,384,42,0.4,11.85,0.99,1226,34.447705,108.982736,322,3.5,0,72431.7,0.662037037,15.18987342
2021/8/28 8:00,27.28125,384,42,0.46,15.35,0.99,1221.5,34.447695,108.982998,327,17.8,103,72431.7,0.652777778,3.374103754
2021/8/28 8:00,27.28125,384,42,0.49,14.85,0.99,1153,34.44767,108.983493,331,31.9,95,72431.8,0.49537037,0.99841917
2021/8/28 8:00,27.28125,384,42,0.48,21.9,0.72,1604.5,34.447665,108.984178,333,42.6,89,72431.8,0.180555556,0.386324126
2021/8/28 8:00,27.28125,384,42,0.06,1.75,0.19,700,34.447633,108.985068,334,46.5,92,72432,-0.532407407,0.742344572
2021/8/28 8:00,27.28125,384,42,0.06,1.75,0.2,699.5,34.44761,108.985885,336,35,92,72432,-1.62037037,0.552995392
2021/8/28 8:00,27.28125,384,42,0.07,1.8,0.22,698,34.447611,108.986243,337,0,89,72432,0.027777778,400
2021/8/28 8:00,27.28125,384,42,0.06,1.7,0.2,652,34.447615,108.986253,339,0.6,0,72432,-0.027777778,0
2021/8/28 8:00,27.28125,384,42,0.06,1.65,0.2,649.5,34.447615,108.986253,339,0,0,72432,0,0
2021/8/28 8:00,27.875,352,47,0.06,1.7,0.2,650,34.447615,108.986253,339,0,0,72432,0,0
2021/8/28 8:01,27.875,352,47,0.06,1.65,0.2,650,34.447615,108.986253,339,0,0,72432,0,0
2021/8/28 8:01,27.875,352,47,0.05,1.6,0.18,651,34.447615,108.986253,339,0,0,72432,0,0
2021/8/28 8:01,27.875,352,47,0.02,16.85,0,1667,34.447615,108.986253,339,0,0,72432,0,0
2021/8/28 8:01,27.875,352,47,0.09,9.65,0,1094.5,34.447615,108.986253,339,0,0,72432,0.972222222,17.14285714
2021/8/28 8:01,27.875,352,47,0.34,17.15,0.65,1469,34.44764,108.986881,342,21,88,72432.1,0.162037037,3.102779573
2021/8/28 8:01,27.875,352,47,0,1.7,0.21,739,34.447643,108.987353,346,24.5,89,72432.1,0.087962963,1.34604599
